"gvkey","curcd","fyear","fyr","datadate","at","capx","shareequity","dlc","dltt","dvp","ebit","netprofit","pstk","sale","epsexcon","nicon","conm","fic","conml","ggroup","gind","gsector","gsubind","sector","indgroup","industry","subind","debt","invested_capital"
"317886","AUD","2024",6,"6/30/2024",508.47,20.819,246.659,7.99,127.38,NA,-4.847,-5.949,0,254.96,-0.0168,-6.527,"MONASH IVF GROUP LTD","AUS","Monash IVF Group Ltd",3510,351020,35,35102020,"Health Care","Health Care Equipment & Services","Health Care Providers & Services","Health Care Facilities",135.37,382.029
"270418","AUD","2024",6,"6/30/2024",490.735,15.741,170.083,81.309,154.909,NA,13.778,4.713,0,852.736,0.1239,4.713,"REJECT SHOP LTD","AUS","The Reject Shop Ltd",2550,255030,25,25503030,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Broadline Retail (New Name)","Broadline Retail (New)",236.218,406.301
"290324","AUD","2024",6,"6/30/2024",480.003,80.652,296.417,1.088,168.215,NA,-3.955,-33.792,0,0,-0.2411,-33.792,"HASTINGS TECH METALS LTD","AUS","Hastings Technology Metals Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",169.303,465.72
"338843","SGD","2024",7,"7/31/2024",476.594,45.812,437.542,0.587,0.903,NA,-3.5,-4.372,0,117.065,-0.0094,-4.372,"TUAS LIMITED","AUS","Tuas Limited",5010,501010,50,50101020,"Communication Services","Telecommunication Services","Diversified Telecommunication Services","Integrated Telecommunication Services",1.49,439.032
"284527","AUD","2024",6,"6/30/2024",472.517,82.903,316.849,6.017,1.918,NA,6.261,-5.734,0,309.891,-0.0034,-5.734,"AURELIA METALS LTD","AUS","Aurelia Metals Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",7.935,324.784
"284635","AUD","2024",6,"6/30/2024",471.231,30.622,349.443,23.057,18.652,NA,-9.473,-11.959,0,147.23,-0.0537,-12.131,"DEVELOP GLOBAL LIMITED","AUS","Develop Global Limited",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",41.709,391.152
"212413","AUD","2024",6,"6/30/2024",464.696,135.497,309.374,16.144,32.874,NA,23.643,17.677,0,172.991,0.0293,17.677,"ALKANE RESOURCES LTD","AUS","Alkane Resources Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",49.018,358.392
"236262","AUD","2024",9,"9/30/2024",463.794,NA,0,461.535,0,NA,-0.237,6.708,0,0,NA,6.708,"RIDDOCK INTERNATIONAL LTD","AUS","Riddock International Ltd",4510,451010,45,45101010,"Information Technology","Software & Services",NA,NA,461.535,461.535
"335514","AUD","2024",6,"6/30/2024",451.458,0.968,207.674,4.797,26.744,NA,48.398,25.705,0,497.715,0.0491,25.705,"TYRO PAYMENTS LTD","AUS","Tyro Payments Ltd",4020,402010,40,40201060,"Financials","Financial Services (New Name)","Financial Services (New Name)","Transaction & Payment Processing Services (New)",31.541,239.215
"211585","AUD","2024",6,"6/30/2024",418.067,3.499,238.152,21.188,64.006,NA,37.374,30.37,0,226.227,1.9885,27.051,"SCHAFFER CORP","AUS","Schaffer Corp Ltd",2510,251010,25,25101010,"Consumer Discretionary","Automobiles & Components","Automobile Components (New Name)","Automotive Parts & Equipment (New Name)",85.194,323.346
"211545","AUD","2024",6,"6/30/2024",415.433,7.885,213.605,72.208,65.064,NA,-28.957,-93.035,0,260.594,-0.3653,-93.035,"AUSTRALIAN VINTAGE LTD","AUS","Australian Vintage Ltd",3020,302010,30,30201020,"Consumer Staples","Food, Beverage & Tobacco","Beverages","Distillers & Vintners",137.272,350.877
"326138","AUD","2024",6,"6/30/2024",413.111,23.859,134.564,17.143,185.759,NA,34.687,10.282,0,481.644,0.0548,10.282,"WAGNERS HOLDING CO","AUS","Wagners Holding Company Limited",1510,151020,15,15102010,"Materials","Materials","Construction Materials","Construction Materials",202.902,337.466
"326181","AUD","2024",6,"6/30/2024",413.097,4.649,117.296,23.69,153.857,NA,13.59,1.242,0,533.431,0.0117,1.563,"NTAW HOLDINGS LIMITED","AUS","NTAW Holdings Limited",2550,255010,25,25501010,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Distributors","Distributors",177.547,294.843
"345686","AUD","2024",6,"6/30/2024",397.078,0.741,286.692,3.189,6.583,NA,14.303,5.026,0,220.617,0.0155,5.026,"NUIX LIMITED","AUS","Nuix Limited",4510,451030,45,45103010,"Information Technology","Software & Services","Software","Application Software",9.772,296.464
"321581","AUD","2024",6,"6/30/2024",394.98,3.149,200.167,60.259,84.25,NA,27.635,14.131,0,582.318,0.1915,14.131,"MOTORCYCLE HOLDINGS LTD","AUS","MotorCycle Holdings Ltd",2550,255040,25,25504050,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Automotive Retail",144.509,344.676
"325823","AUD","2024",6,"6/30/2024",391.281,2.98,160.031,17.561,123.813,NA,12.528,5.389,0,1181.112,0.0452,4.673,"PEOPLEIN LIMITED","AUS","Peoplein Limited",2020,202020,20,20202010,"Industrials","Commercial  & Professional Services","Professional Services","Human Resource & Employment Services (Definition Update)",141.374,301.405
"202929","AUD","2024",6,"6/30/2024",388.94,17.822,247.686,34.252,25.153,NA,NA,199.761,0,133.091,0.775,199.761,"KINGSGATE CONSOLIDATED LTD","AUS","Kingsgate Consolidated Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",59.405,307.091
"322452","AUD","2024",6,"6/30/2024",381.157,15.009,340.195,0.25,3.064,NA,47.089,32.47,0,115.375,0.0902,32.47,"SUGAR TERMINALS LTD","AUS","Sugar Terminals Ltd",2020,202010,20,20201070,"Industrials","Commercial  & Professional Services","Commercial Services & Supplies","Diversified Support Services",3.314,343.509
"278186","AUD","2024",6,"6/30/2024",368.735,5.034,208.007,32.86,80.759,NA,4.913,5.791,0,125.179,0.0023,5.791,"RETAIL FOOD GROUP LTD","AUS","Retail Food Group Ltd",2530,253010,25,25301040,"Consumer Discretionary","Consumer Services","Hotels, Restaurants & Leisure","Restaurants",113.619,321.626
"317454","AUD","2024",6,"6/30/2024",367.074,9.002,165.79,52.107,105.118,NA,51.244,30.102,0,324.331,0.1335,30.102,"BEACON LIGHTING GROUP LTD","AUS","Beacon Lighting Group Ltd",2550,255040,25,25504030,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Home Improvement Retail",157.225,323.015
"287431","AUD","2024",6,"6/30/2024",364.756,3.621,191.161,3.564,4.532,NA,32.63,21.915,0,551.87,0.0834,21.915,"SOUTHERN CROSS ELEC ENGR","AUS","Southern Cross Electrical Engineering Ltd",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",8.096,199.257
"364417","AUD","2024",6,"6/30/2024",362.372,3.915,82.943,37.345,69.134,NA,55.281,35.209,NA,743.074,NA,30.259,"SYMAL GROUP LIMITED","AUS","Symal Group Limited",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",106.479,189.422
"347108","AUD","2024",6,"6/30/2024",356.034,11.534,198.793,9.684,90.048,NA,14.939,-26.052,0,397.715,-0.2134,-26.052,"LYNCH GROUP HOLDINGS LTD","AUS","Lynch Group Holdings Ltd",3020,302020,30,30202010,"Consumer Staples","Food, Beverage & Tobacco","Food Products","Agricultural Products & Services (New Name)",99.732,298.525
"339747","AUD","2024",6,"6/30/2024",352.898,25.303,132.862,2.308,119.989,NA,25.715,17.394,0,136.181,0.006,17.395,"RESOURCE DEVELOPMENT GROUP","AUS","Resource Development Group Ltd",2010,201030,20,20103010,"Industrials","Capital Goods","Construction & Engineering","Construction & Engineering",122.297,255.159
"201317","AUD","2024",6,"6/30/2024",349.38,4.37,143.073,53.685,81.72,NA,12.609,0.659,0,370.805,0.0068,0.659,"COVENTRY GROUP LTD","AUS","Coventry Group Ltd",2010,201070,20,20107010,"Industrials","Capital Goods","Trading Companies & Distributors","Trading Companies & Distributors",135.405,278.478
"289969","USD","2024",6,"6/30/2024",349.13,23.268,257.259,0,0,NA,22.025,-1.644,0,135.11,-0.0011,-1.247,"BASE RESOURCES LTD","AUS","Base Resources Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",0,257.259
"247879","AUD","2024",6,"6/30/2024",346.371,0.107,7.627,233.441,32.08,NA,-192.55,-192.767,0,86.088,-0.1316,-192.537,"STRANDLINE RESOURCES LTD","AUS","Strandline Resources Ltd",1510,151040,15,15104020,"Materials","Materials","Metals & Mining","Diversified Metals & Mining",265.521,273.148
"278526","AUD","2024",6,"6/30/2024",340.481,32.743,201.98,15.959,10.354,NA,33.965,23.558,0,317.014,0.1069,23.558,"CATALYST METALS LTD","AUS","Catalyst Metals Ltd",1510,151040,15,15104030,"Materials","Materials","Metals & Mining","Gold",26.313,228.293
"333913","AUD","2024",6,"6/30/2024",337.945,40.659,160.326,18.802,50.911,NA,72.014,50.419,0,774.472,0.2521,50.419,"MADER GROUP LTD","AUS","Mader Group Ltd",2020,202010,20,20201070,"Industrials","Commercial  & Professional Services","Commercial Services & Supplies","Diversified Support Services",69.713,230.039
"320481","AUD","2024",6,"6/30/2024",332.205,5.686,100.624,37.139,138.274,NA,16.738,4.997,0,490.991,0.0372,4.997,"BABY BUNTING GROUP LTD","AUS","Baby Bunting Group Ltd",2550,255040,25,25504040,"Consumer Discretionary","Consumer Discretionary Distribution & Retail (New Name)","Specialty Retail","Other Specialty Retail (New Name)",175.413,276.037
